关键词,类型,来源,运行次数,累计新增条数,平均热度,命中率,首次发现,最近运行
借钱三明治拒绝法,候选,小红书大家都在搜/相关搜索/筛选标签,0,0,—,—,2026-06-27,—
面试的小技巧,活跃,小红书大家都在搜,5,run5(2026-08-18)_0/20=0.0%; 21,"约1万(2.7万/2.4万/5950领涨,本轮无新样本未改变均值)","run5(2026-08-18)_0/20=0.0% | 0%(0新/约40抓;本轮抽查条目[一个小技巧面试官也想帮你拿offer/像销售一样去面试/面试时最加分的状态有活人感/如果你工作也认真做了但一面试就大脑空白]经核实均已在此前运行中收录,判断该词进入深度饱和期,建议后续降频或延长复查间隔至2周以上",2026-06-28,2026-08-18
面试的顶级心态,活跃,小红书大家都在搜,10,70,2.3万;08-05run2约7070(6条样本:136/2455/813/2.8万/1016/1万),"run4_10%(2新;3218/462;多已收);07-19run4_81.8%(27新/33抓;XHS;活跃复查首次当日投放,为本轮全场最高命中率,松弛感/克服紧张/顶级心法等子话题集中爆发新增量,建议提高该词复查频次);run2_6/20=30.0%(2026-08-05,距07-19隔17天长空档复查,再次验证长空档命中率更高规律)",2026-07-08,2026-08-05
职场中文表达,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场语言表达,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场常用语大全,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场文字,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
面试要说什么话术,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
面试一般问什么,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
面试反问要问什么,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
一面反问面试官问题,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
国企面试反问,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
新凯来谈薪,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
校招谈薪资怎么谈,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
互联网大厂谈薪技巧,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
谈薪hr说去争取薪资,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
打工反内卷话术,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场反内卷的方法,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
反内卷金句,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
100句高情商话术,退休,小红书大家都在搜,1,3,约5千,"day5run4首投但恋爱/撩男污染严重(撩人/哄男人/绿茶版),职场相关仅3条(情绪价值100条5084/温柔说话5212),相关度低保持候选",2026-06-28,2026-06-28
说话嘴甜的话术,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
可复制粘贴的自我介绍模板,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
自我介绍模板i人专用,候选,小红书大家都在搜/筛选标签/高频标题,1,2,约2千,"day6首投约40%(2新/约5抓);搜索结果多为通用自我介绍,与自我介绍簇高重叠,i人专属内容稀少",2026-06-28,2026-06-29
一分钟自我介绍满分模板,候选,小红书大家都在搜/筛选标签/高频标题,1,3,约300(多为新号低赞),"day6run3首投约30%(3新/10抓);与面试自我介绍模板/自我介绍万能公式/高情商自我介绍簇约70%重叠+多新号低热,暂不升活跃",2026-06-28,2026-06-29
面试1分钟自我介绍模板,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
简短有趣的自我介绍,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
向上反馈话术模版,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
50句高情商汇报话术,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
贵人汇报话术模版,候选,小红书大家都在搜/筛选标签/高频标题,1,8,约千级(低;先做可用的人3.1万为向上社交母题异常值),"day5run4首投约53%(8新);谢胜子系列垄断该niche但单条多为百级-5千;50句高情商汇报话术仅7赞印证纯SOP标题雷区;汇报赛道天花板低再确认,保持候选(低热)",2026-06-28,2026-06-28
向上汇报8个关键场景SOP,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
和老板1on1怎么聊,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
汇报技巧话术,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
每日汇报话术,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
面试成功的信号,活跃,小红书大家都在搜/筛选标签/高频标题,18,run4(2026-08-14)_9/20=45.0%; 97,约551（9条样本）,"run4(2026-08-14)_9/20=45.0% | run2_12%(1新/8抓;网页源);07-19run4_57.6%(19新/33抓;XHS;活跃复查首次当日投放,与面试潜台词形成同簇互证,供给充沛);07-29run1_22.2%(6新/27抓;XHS6/20+web0/7;活跃复查(上次07-19,10天空档);XHS6+web0;强录取信号/HR8个信号等子话题零星增量;网页侧本轮无新角度切换,7条全部与既往重复)",2026-07-08,2026-08-14
hr想录用你的表现,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
面试官暗示面试通过,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
录用前的前兆,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
信号解读,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
面试中如何体现AI思维,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
面试官注意力管理,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
职场会接话,活跃,小红书大家都在搜/筛选标签/高频标题,4,37,"约1.4万(13条新增均值,被8.1万/3.9万拉高)",65.0%,2026-06-28,2026-08-15
50句万能场面话术,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
职场漂亮话2.0,候选,小红书大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-28,—
高情商话术300例,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场高情商接话模板,活跃,小红书大家都在搜,3,2026-08-16run1_5/20=25.0%,约4200,2026-08-16run1:25.0%(5新/20抓) | 07-30run2:40.7%(11新/27抓;XHS10+web1;距上次运行07-28约32天长空档复查，命中率40.7%，再次验证'复查间隔越长命中率越高'规律；本轮全场最高热样本'会接话，就是本事❗️'(1376赞)与全场次高'当你,2026-06-28,2026-08-16
职场如何有效接话,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场接话公式,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场新人接话,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场接话训练,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
社恐易学的万能接话公式,候选,小红书高频标题,0,0,—,—,2026-06-28,—
超绝面试心态,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
面试必胜心态,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
强者的顶级心态,候选,小红书大家都在搜(泛心态噪声),0,0,—,—,2026-06-28,—
面试通过的超绝心态,候选,小红书高频标题,0,0,—,—,2026-06-28,—
hr应对(谈薪),候选,小红书筛选标签,0,0,—,—,2026-06-28,—
压价(谈薪),候选,小红书筛选标签,0,0,—,—,2026-06-28,—
个人离职原因,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
离职申请原因,候选,小红书大家都在搜,0,0,—,—,2026-06-28,—
职场幽默接话,活跃,接话簇自然扩展,12,32884,约2300(10条XHS样本混合),"run12_10/20=50.0%(2026-08-06,长空档26天再验证[距07-12],XHS高命中;前值:run11_0%网页完全饱和)",2026-06-28,2026-08-06
万能接话话术,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
工作高情商接话,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
职场高情商梗,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
幽默接话万能话术,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
回话有术接话有招,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
幽默接话技巧,候选,网页搜索,1,3,—,43%(首投;3新web;需XHS验证热度再决升降),2026-07-09,2026-07-09
对方上班了怎么幽默回复,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
职场幽默话术,活跃,网页搜索/大家都在搜,2,9,"约1575(08-05,5条样本:2250/1158/2088/376/3)","run2_5/8=62.5%(长空档复查,距07-09隔27天,2026-08-05)",2026-07-09,2026-08-05
接领导的话,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
高情商接话领导万能话术,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
高情商职场应对话术,活跃,小红书大家都在搜/筛选标签,6,19,800,5.3%,2026-06-28,2026-08-17
职场接话指南,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
职场情商话术,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
职场上怎么接话,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
高情商回复领导话术,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
给贵人汇报工作怎么说,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
怎么给贵人主动汇报,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
100条高情商聊天话术大全,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
高情商聊天说话技巧,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
面试怎么说自我介绍,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
面试问些什么,候选,小红书大家都在搜/筛选标签,0,0,—,—,2026-06-28,—
面试有戏的信号,活跃,大家都在搜(面试成功的信号),1,5,—(web-only无点赞数据),08-17run1_5/8=62.5%(web-only),—,2026-08-17
面试可能通过的信号,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
面试中的积极信号,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
面试一定能过的信号,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
面试被录用的信号,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
面试中哪些信号基本稳了,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
面试通过的积极信号,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
面试官暗示你稳了,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
腾讯面试反问,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
个人工作汇报话术,活跃,小红书大家都在搜/筛选标签(day6),4,36,"约15828(8条XHS新增均值,被11.2万拉高)",08-17run1_10/25=40.0%(XHS+web),2026-06-29,2026-08-17
面试提问禁忌话题,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
安静的人面试,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
面试时间很短,候选,小红书大家都在搜/筛选标签(day6),0,0,—,—,2026-06-29,—
离职邮件模板,候选,小红书大家都在搜/筛选标签(day6run2),0,0,—,—,2026-06-29,—
裸辞话术,候选,小红书大家都在搜/筛选标签(day6run2),0,0,—,—,2026-06-29,—
甩锅话术,活跃,小红书大家都在搜/筛选标签(day6run2),18,run5(2026-08-14)_13/20=65.0%; 147,约18594（13条样本）,"run5(2026-08-14)_13/20=65.0% | run5_27%(8新/30抓;web2+XHS6;网易/虎嗅两条网页+心理操控者的常用话术[2625赞,相关性中等待观察]/英语里的高情商甩锅句/看印度同事展示如何让锅消失在空气中/职场嘴替精准防甩锅英文表达/NPD最爱用的一句甩锅的话/怼人爽句做吵架界的扛把子六条XHS新增,运行5次后供给仍有边际增量; 原:run4_86%(12新/14抓;小红书时间排序;距上次运行07-14仅隔2天供给仍充沛,避免背锅的第一步从识别甩锅话术开始[2763赞视频笔记]为本轮该词最高赞样本,2条与历史重复[破解甩锅话术不知道怎么怼/开会甩锅模版]); 原:run3_40%(4新/~10抓;攻防策略/反将一军/巨婴同事/5步自保指南);原:run4(网页源)70%(7新/10抓;婉拒同事甩锅合集知乎/背锅应对指南搜狐/防背锅指南/回怼话术/腾讯新闻拒绝背锅);历史72%;07-29run1_60.0%(15新/25抓;XHS12/19+web3/6;活跃复查(上次07-17,12天空档);XHS12+web3;本轮全场最高命中率;北美高管反制甩锅(2601赞)/前亚马逊L8防甩锅(2150赞)等英文职场话术子话题强势增量,供给远未饱和)",run1_5%(XHS完全饱和;仅1网页新),2026-08-14
述职话术,候选,小红书大家都在搜/筛选标签(day6run2),0,0,—,—,2026-06-29,—
演讲开场白,活跃,小红书大家都在搜/筛选标签(day6run2),7,run2(2026-08-17)新增4条; 41,约6750（2条XHS样本）| 约2500(4225/4175/4111),"2026-08-17run2_4/13=30.8%(XHS+web) | run4,8/20=40.0%;run4二次复查(距07-06首投隔25天),XHS新增2条(不会开场=演讲失败4赞低热样本/万能开场话术257赞);web侧6条新经典开场白技巧文章命中率高,本轮最高",2026-06-29,2026-08-17
反尬聊话术,候选,小红书大家都在搜/筛选标签(day6run2),0,0,—,—,2026-06-29,—
高情商怼人话术,候选,小红书大家都在搜/筛选标签(day6run2),0,0,—,—,2026-06-29,—
职场分寸感,活跃,小红书大家都在搜/筛选标签(day6run2),4,46,约3200(3.1万/1.7万/1.3万领涨),"08-16run2:18/20=90.0%全场最高;距07-30隔17天长空档复查,边界感子话题供给大幅回升,第N次验证长空档规律",2026-06-29,2026-08-16
期望薪资区间,候选,小红书大家都在搜/筛选标签(day6run2),0,0,—,—,2026-06-29,—
HR压薪话术,活跃,小红书大家都在搜/筛选标签(day6run2),8,run5(2026-08-14)_0/19=0.0%; 291765,约2500(含本轮混合估算),"run5(2026-08-14)_0/19=0.0% | 07-29run4:54.3%(19新/35抓;XHS;活跃复查[上次07-03,26天空档],供给大量回升,当日全场最高命中率);run4约0%(完全饱和)",2026-06-29,2026-08-14
述职报告话术,候选,小红书大家都在搜/筛选标签(day6run2),0,0,—,—,2026-06-29,—
谈薪资怎么争取,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
入职要求提供薪资流水,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
和hr谈薪酬怎么争取,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
职场调侃话术,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
hr争取薪资话术,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
手上有offer怎么和另一家hr谈薪,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
社招跳槽涨薪多少合适,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
hr谈薪话术,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
怎么和hr争取薪资,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
要求涨薪话术,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
已经同意了offer薪资还能再谈吗,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
hr三面谈薪资技巧,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
hr怎么和候选人谈薪,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
谈薪hr说给领导申请一下,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
满分自我介绍模板,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
一分钟吸引人自我介绍,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
1分钟自我介绍怎么写,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
自我介绍一分钟简单大方,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
没有校园经历的自我介绍,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
结构化表达训练,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
第一次面试要说什么,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
面试自我介绍的结束语,候选,小红书大家都在搜/筛选标签(day6run3),0,0,—,—,2026-06-29,—
职场表达的重要性,候选,大家都在搜(职场表达),0,0,—,—,2026-06-29,—
万能演讲开场白,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-29,—
上台演讲开场白,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-29,—
三分钟小演讲,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-29,—
临时上台发言,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-29,—
即兴上台发言,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-29,—
演讲带动气氛的开场白,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-29,—
ppt讲课开场白,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-29,—
职场得寸进尺的分寸感,候选,大家都在搜(职场分寸感),0,0,—,—,2026-06-29,—
异性领导相处的分寸感,候选,大家都在搜(职场分寸感),0,0,—,—,2026-06-29,—
边界感强的工作,候选,大家都在搜(职场分寸感),0,0,—,—,2026-06-29,—
职场边界感如何把握,候选,大家都在搜(职场分寸感),0,0,—,—,2026-06-29,—
拒绝甩锅,候选,大家都在搜/筛选标签(甩锅话术),0,0,—,—,2026-06-29,—
如何避免甩锅,候选,大家都在搜/筛选标签(甩锅话术),0,0,—,—,2026-06-29,—
甩锅四步法,候选,大家都在搜/筛选标签(甩锅话术),0,0,—,—,2026-06-29,—
防甩锅,候选,大家都在搜/筛选标签(甩锅话术),0,0,—,—,2026-06-29,—
甩锅的高级说法,候选,大家都在搜/筛选标签(甩锅话术),0,0,—,—,2026-06-29,—
职场黑话,候选,大家都在搜/筛选标签(甩锅话术),0,0,—,—,2026-06-29,—
面试过了的潜台词,候选,小红书大家都在搜(面试潜台词),0,0,—,—,2026-06-30,—
面试后客气话你没通过,候选,小红书高频标题(面试潜台词),0,0,—,—,2026-06-30,—
工作的高级表达,候选,小红书大家都在搜(职场高级表达),0,0,—,—,2026-06-30,—
看懂JD背后的潜台词,候选,小红书高频标题(面试潜台词),0,0,—,—,2026-06-30,—
职业规划怎么说,候选,大家都在搜(离职原因怎么说),0,0,—,—,2026-06-30,—
离职原因有哪些,候选,大家都在搜(离职原因怎么说),0,0,—,—,2026-06-30,—
演讲前的幽默开场白,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-30,—
ppt开场白怎么讲,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-30,—
演讲开场白技巧,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-30,—
汇报演讲开场白,候选,大家都在搜(演讲开场白),0,0,—,—,2026-06-30,—
线上面试成功的信号,候选,大家都在搜(面试成功的信号),0,0,—,—,2026-06-30,—
面试完的积极信号,候选,大家都在搜(面试成功的信号),0,0,—,—,2026-06-30,—
行为面试通关技巧,候选,小红书大家都在搜(面试的小技巧),0,0,—,—,2026-06-30,—
面试小妙招,候选,小红书大家都在搜(面试的小技巧),0,0,—,—,2026-06-30,—
面试前要做哪些准备,候选,小红书大家都在搜(面试的小技巧),0,0,—,—,2026-06-30,—
面试万能回答公式,候选,小红书大家都在搜(面试的小技巧),0,0,—,—,2026-06-30,—
如何有效向上汇报,候选,小红书大家都在搜(向上汇报话术),0,0,—,—,2026-06-30,—
面试话术速成法,候选,小红书大家都在搜(面试的小技巧),0,0,—,—,2026-06-30,—
职场回话技巧和话术,候选,大家都在搜,0,0,—,—,2026-06-30,—
每日高情商训练,候选,大家都在搜,0,0,—,—,2026-06-30,—
领导找你单独谈话该说什么,候选,大家都在搜,0,0,—,—,2026-06-30,—
职场拒绝话术模板,候选,大家都在搜,0,0,—,—,2026-06-30,—
职场漂亮话大全,候选,大家都在搜,0,0,—,—,2026-06-30,—
万能沟通话术,候选,大家都在搜,1,2,—,day8首投~20%(2新;仅网页未查XHS),2026-06-30,2026-07-01
hr谈薪一般会压多少,候选,大家都在搜,0,0,—,—,2026-06-30,—
职场中的高情商话术,候选,大家都在搜(面试技巧/职场表达),0,0,—,—,2026-07-01,—
职场高级表达,候选,大家都在搜(职场表达),0,0,—,—,2026-07-01,—
职场话语技巧,候选,大家都在搜(职场表达),0,0,—,—,2026-07-01,—
职场表达技巧,活跃,大家都在搜(职场表达),2,11,"约2744(08-04,8条样本:4906/4152/988/252/71/9652/493/1438)","run2_8/16=50.0%(XHS8新/16抓,长空档复查距07-07隔28天,再验证长空档规律)",2026-06-25,2026-08-04
面试都应该说什么,候选,大家都在搜(面试什么话该说),0,0,—,—,2026-07-01,—
面试说什么比较好,候选,大家都在搜(面试什么话该说),0,0,—,—,2026-07-01,—
面试坐姿手怎么放,候选,大家都在搜(面试肢体语言),0,0,—,—,2026-07-01,—
面试肢体语言加分技巧,候选,大家都在搜(面试肢体语言),0,0,—,—,2026-07-01,—
谈薪说法,候选,大家都在搜(HR压薪话术),0,0,—,—,2026-07-02,—
hr和候选人谈薪话术,候选,大家都在搜(HR压薪话术),0,0,—,—,2026-07-02,—
面试到谈薪阶段意味着什么,候选,大家都在搜(HR压薪话术),0,0,—,—,2026-07-02,—
hr说超预算了怎么回复,候选,大家都在搜(HR压薪话术),0,0,—,—,2026-07-02,—
hr谈薪后多久发offer,候选,大家都在搜(HR压薪话术),0,0,—,—,2026-07-02,—
和hr谈薪技巧,候选,大家都在搜(HR压薪话术),0,0,—,—,2026-07-02,—
面试自带松弛感,候选,小红书大家都在搜(面试松弛感),0,0,—,—,2026-07-02,—
面试松弛感反而更容易通过,候选,小红书大家都在搜(面试松弛感),0,0,—,—,2026-07-02,—
面试中如何展现活人感,候选,面试活人感大家都在搜,0,0,—,—,2026-07-02,—
英文面试万能公式,候选,英文面试技巧大家都在搜,0,0,—,—,2026-07-02,—
英文面试速成技巧,候选,英文面试技巧大家都在搜,0,0,—,—,2026-07-02,—
甩锅的幽默说法,候选,甩锅话术大家都在搜,0,0,—,—,2026-07-02,—
职场语言艺术,候选,职场漂亮话大家都在搜,0,0,—,—,2026-07-02,—
面试简短自我介绍模板,候选,面试自我介绍模板大家都在搜,0,0,—,—,2026-07-02,—
面试超绝心态,活跃,面试的顶级心态大家都在搜,6,45,"约1478(08-05,8条样本:15/8735/1081/50000/33/253/350/340,中位数偏低被5万条拉高)","run3_8/16=50.0%(长空档复查,距07-08隔28天,2026-08-05)",2026-07-02,2026-08-05
面试活人感怎么表现,候选,面试活人感大家都在搜,0,0,—,—,2026-07-02,—
ai准备面试指令,候选,AI面试技巧大家都在搜,0,0,—,—,2026-07-03,—
ai面试app推荐,候选,AI面试技巧大家都在搜,0,0,—,—,2026-07-03,—
豆包ai面试怎么使用,候选,AI面试技巧大家都在搜,0,0,—,—,2026-07-03,—
高能量顶级心态,候选,面试的顶级心态大家都在搜,0,0,—,—,2026-07-03,—
面试个人优缺点,候选,面试优缺点大家都在搜,0,0,—,—,2026-07-03,—
面试潜台词技巧,候选,面试潜台词筛选标签,0,0,—,—,2026-07-03,—
面试通过后谈薪话术,候选,HR压薪话术大家都在搜,0,0,—,—,2026-07-03,—
甩锅话术教程,候选,甩锅话术大家都在搜,0,0,—,—,2026-07-03,—
甩锅话术文案,候选,甩锅话术大家都在搜,0,0,—,—,2026-07-03,—
新媒体运营甩锅话术,候选,甩锅话术大家都在搜,0,0,—,—,2026-07-03,—
面试积极心态,候选,面试超绝心态大家都在搜,0,0,—,—,2026-07-03,—
摆正面试心态,候选,面试超绝心态大家都在搜,0,0,—,—,2026-07-03,—
学会幽默接话法,候选,职场幽默接话搜索页大家都在搜,0,0,—,—,2026-07-03,—
幽默回复同事,候选,职场幽默接话搜索页大家都在搜,0,0,—,—,2026-07-03,—
职场沟通接话,候选,职场幽默接话搜索页筛选标签,0,0,—,—,2026-07-03,—
怎么变得幽默会聊天,候选,职场幽默接话搜索页大家都在搜,0,0,—,—,2026-07-03,—
活人感面试答题,候选,面试活人感搜索页大家都在搜,0,0,—,—,2026-07-03,—
普通人面试状态,候选,面试活人感搜索页大家都在搜,0,0,—,—,2026-07-03,—
反向面试问题,候选,大家都在搜(面试反问环节),1,4,—,2026-08-15run2:33.3%(4新/12抓;web-only;33.3%未达40%阈值维持候选；但该词是本轮最大答案空缺的来源，建议XHS恢复后优先复投),—,2026-08-15
职场沟通升级,候选,大家都在搜(职场有效表达),0,0,—,—,—,2026-07-04
面试让人眼前一亮,候选,面试活人感大家都在搜,0,0,—,—,2026-07-04,—
面试精神状态,候选,面试活人感大家都在搜,0,0,—,—,2026-07-04,—
面试无敌心态,候选,面试超绝心态大家都在搜,0,0,—,—,2026-07-04,—
面试时的心态,候选,面试超绝心态大家都在搜,0,0,—,—,2026-07-04,—
如何反问面试官问题,候选,面试反问大家都在搜,0,0,—,—,2026-07-04,—
面试被问还有什么问题,候选,面试反问大家都在搜,0,0,—,—,2026-07-04,—
面试反向提问,候选,大家都在搜（反向面试问题）,0,0,—,—,2026-07-04,—
二轮面试话术,候选,大家都在搜（反向面试问题）,0,0,—,—,2026-07-04,—
面试被加面是好事吗,候选,大家都在搜（面试什么话不能说）,0,0,—,—,2026-07-04,—
2026AI面试新趋势,活跃,面试赛道高频/AI热词,3,run5(2026-08-18)_17/20=85.0%; 21,约284（16条样本）,"run5(2026-08-18)_17/20=85.0% | 94.7%(18新/19抓;XHS12+web6;08-02run2活跃复查,本轮最高,实时对话式AI面试官新趋势供给极充沛)",2026-07-04,2026-08-18
面试博弈论,活跃,面试技巧XHS搜索页标题,7,18,"6339;run4_132(1条样本,08-05,距上次运行07-10已隔约26天)","20%;run4_1/8=12.5%(2026-08-05,长空档规律本轮未强力验证,新发现'量化/投行内容drift'现象——赛道被Jane Street/量化面试等无关内容大量挤占,建议后续降低该词优先级或改用更精确变体)",2026-07-04,2026-08-05
AI辅助面试技巧,候选,面试技巧XHS搜索页,1,4,—,100%,2026-07-04,2026-07-05
即兴发言,活跃,职场表达搜索大家都在搜,4,32,"约(样本少,多数无热度数据)","57.9%(11新/19抓;XHS6+web5;08-02run2活跃复查,万能公式/临场发言子话题延续供给) | 08-18run6_7/13=53.8%",2026-07-05,2026-08-18
面试配得感,活跃,面试超绝心态大家都在搜,11,58(含run4新增8条),"约21(run4样本8条:1/1/85/5/9/—/4/6均值约15.9,历史127.0)","run2_17%(4新/24抓;web2+XHS2;利用心理偏好打动面试官捷径[界面新闻]+你心中的不配得感在阻止你真正爱自己[滁州心理学会]+白男找工的配得感真的值得学+高配得感去面试反而更容易拿offer四条新增,该词经9轮运行后供给持续稀薄,建议降低投放优先级或改用更聚焦复合query'面试 配得感 心理学'复投; 原:run1_42%(5新/~12抓;心理学/高校来源差异化) | run4_长空档复查(距07-17隔25天)_8/8=100%(2026-08-11;成为博士的第一步是拥有高配得感1赞/正装果然穿上感觉自己容光焕发85赞/面试拿offer的人都有一种高配得感6赞等,与薪资争取话术同轮共同验证长空档规律,该词此前9轮供给持续稀薄的判断本轮被推翻,建议重新评估投放优先级)",run1_50%(6新;5XHS+1web;配得感赛道同质化加剧),2026-08-11
AI面试工具推荐,候选,2026AI面试新趋势子话题,0,0,—,—,2026-07-05,—
AI初筛准备,候选,2026AI面试新趋势子话题,0,0,—,—,2026-07-05,—
职场汇报逻辑表达,候选,职场表达大家都在搜,0,0,—,—,2026-07-05,—
